text,url
opendata-wahllokale.csv,https://votemanager-gi.ekom21cdn.de/2021-09-26/06531018/praesentation/opendata-wahllokale.csv
opendata-strassen.csv,https://votemanager-gi.ekom21cdn.de/2021-09-26/06531018/praesentation/opendata-strassen.csv
Gemeinde-Ergebnis,https://votemanager-gi.ekom21cdn.de/2021-09-26/06531018/praesentation/Open-Data-Bundestagswahl3293.csv?ts=1761223487305
Übersicht über Gruppierungen,https://votemanager-gi.ekom21cdn.de/2021-09-26/06531018/praesentation/Open-Data-Bundestagswahl3297.csv?ts=1761223487305
Übersicht über Wahlbezirke,https://votemanager-gi.ekom21cdn.de/2021-09-26/06531018/praesentation/Open-Data-Bundestagswahl3296.csv?ts=1761223487305
Gemeinde-Ergebnis,https://votemanager-gi.ekom21cdn.de/2021-09-26/06531018/praesentation/Open-Data-Buergermeisterwahl-Hessen3303.csv?ts=1761223487305
Übersicht über Gruppierungen,https://votemanager-gi.ekom21cdn.de/2021-09-26/06531018/praesentation/Open-Data-Buergermeisterwahl-Hessen3307.csv?ts=1761223487305
Übersicht über Wahlbezirke,https://votemanager-gi.ekom21cdn.de/2021-09-26/06531018/praesentation/Open-Data-Buergermeisterwahl-Hessen3306.csv?ts=1761223487305
Gemeinde-Ergebnis,https://votemanager-gi.ekom21cdn.de/2021-09-26/06531018/praesentation/Open-Data-Landratswahl-Hessen3323.csv?ts=1761223487305
Übersicht über Gruppierungen,https://votemanager-gi.ekom21cdn.de/2021-09-26/06531018/praesentation/Open-Data-Landratswahl-Hessen3327.csv?ts=1761223487305
Übersicht über Wahlbezirke,https://votemanager-gi.ekom21cdn.de/2021-09-26/06531018/praesentation/Open-Data-Landratswahl-Hessen3326.csv?ts=1761223487305
Gemeinde-Ergebnis,https://votemanager-gi.ekom21cdn.de/2021-09-26/06531018/praesentation/Open-Data-Buergermeisterstichwahl-Hessen3313.csv?ts=1761223487305
Übersicht über Gruppierungen,https://votemanager-gi.ekom21cdn.de/2021-09-26/06531018/praesentation/Open-Data-Buergermeisterstichwahl-Hessen3317.csv?ts=1761223487305
Übersicht über Wahlbezirke,https://votemanager-gi.ekom21cdn.de/2021-09-26/06531018/praesentation/Open-Data-Buergermeisterstichwahl-Hessen3316.csv?ts=1761223487305
Gemeinde-Ergebnis,https://votemanager-gi.ekom21cdn.de/2021-09-26/06531018/praesentation/Open-Data-Landratsstichwahl-Hessen3333.csv?ts=1761223487305
Übersicht über Gruppierungen,https://votemanager-gi.ekom21cdn.de/2021-09-26/06531018/praesentation/Open-Data-Landratsstichwahl-Hessen3337.csv?ts=1761223487305
Übersicht über Wahlbezirke,https://votemanager-gi.ekom21cdn.de/2021-09-26/06531018/praesentation/Open-Data-Landratsstichwahl-Hessen3336.csv?ts=1761223487305
