text,url
opendata-wahllokale.csv,https://wahlergebnisse.komm.one/lb/produktion/wahltermin-20210926/08111000/praesentation/opendata-wahllokale.csv
opendata-strassen.csv,https://wahlergebnisse.komm.one/lb/produktion/wahltermin-20210926/08111000/praesentation/opendata-strassen.csv
Wahlgebiet,https://wahlergebnisse.komm.one/lb/produktion/wahltermin-20210926/08111000/praesentation/Open-Data-Bundestagswahl-2021-_Land-BW_647-2959.csv?ts=1761659794376
Wahlkreis,https://wahlergebnisse.komm.one/lb/produktion/wahltermin-20210926/08111000/praesentation/Open-Data-Bundestagswahl-2021-_Land-BW_647-4059.csv?ts=1761659794376
Brief,https://wahlergebnisse.komm.one/lb/produktion/wahltermin-20210926/08111000/praesentation/Open-Data-Bundestagswahl-2021-_Land-BW_647-4061.csv?ts=1761659794376
Urne,https://wahlergebnisse.komm.one/lb/produktion/wahltermin-20210926/08111000/praesentation/Open-Data-Bundestagswahl-2021-_Land-BW_647-4060.csv?ts=1761659794376
Stadtbezirke,https://wahlergebnisse.komm.one/lb/produktion/wahltermin-20210926/08111000/praesentation/Open-Data-Bundestagswahl-2021-_Land-BW_647-2960.csv?ts=1761659794376
Wahlbezirk,https://wahlergebnisse.komm.one/lb/produktion/wahltermin-20210926/08111000/praesentation/Open-Data-Bundestagswahl-2021-_Land-BW_6476.csv?ts=1761659794376
Gemeinden (Wahlkreise: 258),https://wahlergebnisse.komm.one/lb/produktion/wahltermin-20210926/08111000/praesentation/Open-Data-Bundestagswahl-2021-Gemeinden-_Wahlkreis-258_.csv?ts=1761659794376
Bezirke (Wahlkreise: 258),https://wahlergebnisse.komm.one/lb/produktion/wahltermin-20210926/08111000/praesentation/Open-Data-Bundestagswahl-2021-Bezirke-_Wahlkreis-258_.csv?ts=1761659794376
Gemeinden (Wahlkreise: 259),https://wahlergebnisse.komm.one/lb/produktion/wahltermin-20210926/08111000/praesentation/Open-Data-Bundestagswahl-2021-Gemeinden-_Wahlkreis-259_.csv?ts=1761659794376
Bezirke (Wahlkreise: 259),https://wahlergebnisse.komm.one/lb/produktion/wahltermin-20210926/08111000/praesentation/Open-Data-Bundestagswahl-2021-Bezirke-_Wahlkreis-259_.csv?ts=1761659794376
