text,url
opendata-wahllokale.csv,https://votemanager-da.ekom21cdn.de/2021-09-26/06438013/praesentation/opendata-wahllokale.csv
opendata-strassen.csv,https://votemanager-da.ekom21cdn.de/2021-09-26/06438013/praesentation/opendata-strassen.csv
Gemeinde-Ergebnis,https://votemanager-da.ekom21cdn.de/2021-09-26/06438013/praesentation/Open-Data-Bundestagswahl5473.csv?ts=1761152754168
Übersicht über Ortsbezirke,https://votemanager-da.ekom21cdn.de/2021-09-26/06438013/praesentation/Open-Data-Bundestagswahl5478.csv?ts=1761152754168
Übersicht über Wahlbezirke,https://votemanager-da.ekom21cdn.de/2021-09-26/06438013/praesentation/Open-Data-Bundestagswahl5476.csv?ts=1761152754168
Gemeinde-Ergebnis,https://votemanager-da.ekom21cdn.de/2021-09-26/06438013/praesentation/Open-Data-Buergermeisterwahl-Hessen5493.csv?ts=1761152754168
Übersicht über Ortsbezirke,https://votemanager-da.ekom21cdn.de/2021-09-26/06438013/praesentation/Open-Data-Buergermeisterwahl-Hessen5498.csv?ts=1761152754168
Übersicht über Wahlbezirke,https://votemanager-da.ekom21cdn.de/2021-09-26/06438013/praesentation/Open-Data-Buergermeisterwahl-Hessen5496.csv?ts=1761152754168
Gemeinde-Ergebnis,https://votemanager-da.ekom21cdn.de/2021-09-26/06438013/praesentation/Open-Data-Landratswahl-Hessen5483.csv?ts=1761152754168
Übersicht über Ortsbezirke,https://votemanager-da.ekom21cdn.de/2021-09-26/06438013/praesentation/Open-Data-Landratswahl-Hessen5488.csv?ts=1761152754168
Übersicht über Wahlbezirke,https://votemanager-da.ekom21cdn.de/2021-09-26/06438013/praesentation/Open-Data-Landratswahl-Hessen5486.csv?ts=1761152754168
Gemeinde-Ergebnis,https://votemanager-da.ekom21cdn.de/2021-09-26/06438013/praesentation/Open-Data-Landratsstichwahl-Hessen5513.csv?ts=1761152754168
Übersicht über Ortsbezirke,https://votemanager-da.ekom21cdn.de/2021-09-26/06438013/praesentation/Open-Data-Landratsstichwahl-Hessen5518.csv?ts=1761152754168
Übersicht über Wahlbezirke,https://votemanager-da.ekom21cdn.de/2021-09-26/06438013/praesentation/Open-Data-Landratsstichwahl-Hessen5516.csv?ts=1761152754168
