text,url
opendata-wahllokale.csv,https://votemanager-gi.ekom21cdn.de/2021-09-26/06531017/praesentation/opendata-wahllokale.csv
opendata-strassen.csv,https://votemanager-gi.ekom21cdn.de/2021-09-26/06531017/praesentation/opendata-strassen.csv
Gemeinde-Ergebnis,https://votemanager-gi.ekom21cdn.de/2021-09-26/06531017/praesentation/Open-Data-Bundestagswahl3293.csv?ts=1761649395713
Übersicht über Ortsbezirke,https://votemanager-gi.ekom21cdn.de/2021-09-26/06531017/praesentation/Open-Data-Bundestagswahl3298.csv?ts=1761649395713
Übersicht über Wahlbezirke,https://votemanager-gi.ekom21cdn.de/2021-09-26/06531017/praesentation/Open-Data-Bundestagswahl3296.csv?ts=1761649395713
Gemeinde-Ergebnis,https://votemanager-gi.ekom21cdn.de/2021-09-26/06531017/praesentation/Open-Data-Landratswahl-Hessen3323.csv?ts=1761649395713
Übersicht über Ortsbezirke,https://votemanager-gi.ekom21cdn.de/2021-09-26/06531017/praesentation/Open-Data-Landratswahl-Hessen3328.csv?ts=1761649395713
Übersicht über Wahlbezirke,https://votemanager-gi.ekom21cdn.de/2021-09-26/06531017/praesentation/Open-Data-Landratswahl-Hessen3326.csv?ts=1761649395713
Gemeinde-Ergebnis,https://votemanager-gi.ekom21cdn.de/2021-09-26/06531017/praesentation/Open-Data-Landratsstichwahl-Hessen3333.csv?ts=1761649395713
Übersicht über Ortsbezirke,https://votemanager-gi.ekom21cdn.de/2021-09-26/06531017/praesentation/Open-Data-Landratsstichwahl-Hessen3338.csv?ts=1761649395713
Übersicht über Wahlbezirke,https://votemanager-gi.ekom21cdn.de/2021-09-26/06531017/praesentation/Open-Data-Landratsstichwahl-Hessen3336.csv?ts=1761649395713
